model,method,scoring,itinerary ,itinerary version ,nutrition ,nutrition version ,todolist ,todolist version 
gemini-3-flash,flat_rag,N/A,3.3515105,3.623827,3.542467,2.743214,3.3260067999999996,3.475447
gemini-3-flash,in_context,N/A,27.3962505,2.9008290000000003,24.522239999999996,32.544382999999996,16.8277372,2.581261
gemini-3-flash,semantic_xpath,dense,4.358332999999999,4.304715,5.307987,5.137543,4.1725432,4.469414
gemini-3-flash,semantic_xpath,entailment,5.946433000000001,6.068293000000001,7.840306,5.896522,7.0437840000000005,5.643867999999999
gpt5-mini,flat_rag,N/A,7.172392499999999,9.793437,11.166777,8.002927,4.9153372,9.740576
gpt5-mini,in_context,N/A,42.180701500000005,17.245005999999997,367.16092800000007,64.15243099999999,14.036434399999997,13.52188
gpt5-mini,semantic_xpath,dense,12.409145,14.509979000000001,17.554482,14.729325,10.56499,16.427597
gpt5-mini,semantic_xpath,entailment,16.220265,16.361195000000002,17.203452000000002,14.45617,11.924325999999999,15.722273999999999
qwen3-80b,flat_rag,N/A,1.943844,,,,1.5631292,
qwen3-80b,in_context,N/A,14.147791500000002,,21.4159395,,7.604941200000001,
qwen3-80b,semantic_xpath,dense,3.478062,,3.496582,,2.9760267999999996,
qwen3-80b,semantic_xpath,entailment,5.213040500000001,,6.096569000000001,,5.3503768,
